	4-5-2	4-5-3	4-1
cell1	0.5	0.5	0
cell2	0.5	0.5	0
cell3	0.5	0.5	0
cell4	0.5	0.5	0
cell5	0.5	0.5	0
cell6	0.5	0.5	0
cell7	0.5	0.5	0
cell8	0.5	0.5	0
cell9	0.5	0.5	0
cell10	0.5	0.5	0
cell11	0.5	0.5	0
cell12	0.5	0.5	0
cell13	0.5	0.5	0
cell14	0.5	0.5	0
cell15	0.5	0.5	0
cell16	0.5	0.5	0
cell17	0.5	0.5	0
cell18	0.5	0.5	0
cell19	0.5	0.5	0
cell20	0.5	0.5	0
cell21	0.5	0.5	0
cell22	0.5	0.5	0
cell23	0.5	0.5	0
cell24	0.5	0.5	0
cell25	0.5	0.5	0
cell26	0.5	0.5	0
cell27	0.5	0.5	0
cell28	0.5	0.5	0
cell29	0.5	0.5	0
cell30	0.5	0.5	0
cell31	0.5	0.5	0
cell32	0.5	0.5	0
cell33	0.5	0.5	0
cell34	0.5	0.5	0
cell35	0.5	0.5	0
cell36	0.5	0.5	0
cell37	0.5	0.5	0
cell38	0.5	0.5	0
cell39	0.5	0.5	0
cell40	0.5	0.5	0
cell41	0.5	0.5	0
cell42	0.5	0.5	0
cell43	0.5	0.5	0
cell44	0.5	0.5	0
cell45	0.5	0.5	0
cell46	0.5	0.5	0
cell47	0.5	0.5	0
cell48	0.5	0.5	0
cell49	0.5	0.5	0
cell50	0.5	0.5	0
cell51	0.5	0.5	0
cell52	0.5	0.5	0
cell53	0.5	0.5	0
cell54	0.5	0.5	0
cell55	0.5	0.5	0
cell56	0.5	0.5	0
cell57	0.5	0.5	0
cell58	0.5	0.5	0
cell59	0.5	0.5	0
cell60	0.5	0.5	0
cell61	0.5	0.5	0
cell62	0.5	0.5	0
cell63	0.5	0.5	0
cell64	0.5	0.5	0
cell65	0.5	0.5	0
cell66	0.5	0.5	0
cell67	0.5	0.5	0
cell68	0.5	0.5	0
cell69	0.5	0.5	0
cell70	0.5	0.5	0
cell71	0.5	0.5	0
cell72	0.5	0.5	0
cell73	0.5	0.5	0
cell74	0.5	0.5	0
cell75	0.5	0.5	0
cell76	0.5	0.5	0
cell77	0.5	0.5	0
cell78	0.5	0.5	0
cell79	0.5	0.5	0
cell80	0.5	0.5	0
cell81	0.5	0.5	0
cell82	0.5	0.5	0
cell83	0.5	0.5	0
cell84	0.5	0.5	0
cell85	0.5	0.5	0
cell86	0.5	0.5	0
cell87	0.5	0.5	0
cell88	0.5	0.5	0
cell89	0.5	0.5	0
cell90	0.5	0.5	0
cell91	0.5	0.5	0
cell92	0.5	0.5	0
cell93	0.5	0.5	0
cell94	0.5	0.5	0
cell95	0.5	0.5	0
cell96	0.5	0.5	0
cell97	0.5	0.5	0
cell98	0.5	0.5	0
cell99	0.5	0.5	0
cell100	0.5	0.5	0
cell101	0.5	0.5	0
cell102	0.5	0.5	0
cell103	0.5	0.5	0
cell104	0.5	0.5	0
cell105	0.5	0.5	0
cell106	0.5	0.5	0
cell107	0.5	0.5	0
cell108	0.5	0.5	0
cell109	0.5	0.5	0
cell110	0.5	0.5	0
cell111	0.5	0.5	0
cell112	0.5	0.5	0
cell113	0.5	0.5	0
cell114	0.5	0.5	0
cell115	0.5	0.5	0
cell116	0.5	0.5	0
cell117	0.5	0.5	0
cell118	0.5	0.5	0
cell119	0.5	0.5	0
cell120	0.5	0.5	0
cell121	0.5	0.5	0
cell122	0.5	0.5	0
cell123	0.5	0.5	0
cell124	0.5	0.5	0
cell125	0.5	0.5	0
cell126	0.5	0.5	0
cell127	0.5	0.5	0
cell128	0.5	0.5	0
cell129	0.5	0.5	0
cell130	0.5	0.5	0
cell131	0.5	0.5	0
cell132	0.5	0.5	0
cell133	0.5	0.5	0
cell134	0.5	0.5	0
cell135	0.5	0.5	0
cell136	0.5	0.5	0
cell137	0.5	0.5	0
cell138	0.5	0.5	0
cell139	0.5	0.5	0
cell140	0.5	0.5	0
cell141	0.5	0.5	0
cell142	0.5	0.5	0
cell143	0.5	0.5	0
cell144	0.5	0.5	0
cell145	0.5	0.5	0
cell146	0.5	0.5	0
cell147	0.5	0.5	0
cell148	0.5	0.5	0
cell149	0.5	0.5	0
cell150	0.5	0.5	0
cell151	0.5	0.5	0
cell152	0.5	0.5	0
cell153	0.5	0.5	0
cell154	0.5	0.5	0
cell155	0.5	0.5	0
cell156	0.5	0.5	0
cell157	0.5	0.5	0
cell158	0.5	0.5	0
cell159	0.5	0.5	0
cell160	0.5	0.5	0
cell161	0.5	0.5	0
cell162	0.5	0.5	0
cell163	0.5	0.5	0
cell164	0.5	0.5	0
