albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.6383890078754632,1.4230410460613522e-115,,2.599299570495478e-191,,,,,0.762979674979675
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.6384311994167425,1.3598241393973387e-115,,2.6231267953139388e-191,-0.749291680839118,7.956709824687831e-181,0.07855938000549564,0.22558717989848961,0.762974670974671,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,50,,,,0.7937457151440239,1.0377535553583056e-217,,6.291823185898692e-190,,,0.07855938000549564,0.22558717989848961,0.7612246252246253,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,50,,,,0.7937101663867965,1.1198680488124024e-217,,6.373008739541317e-190,-0.7251870901986324,6.3418658720448845e-164,0.07975617804946601,0.22627869426003833,0.7612175332175332,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,100,,,,0.7957563038578925,1.3641718559358896e-219,,1.6738264669308312e-199,,,0.07975617804946601,0.22627869426003833,0.7730631890631892,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,100,,,,0.7957165264989774,1.4869350846844475e-219,,1.7471422282188654e-199,-0.8498146299436223,8.071207145888528e-280,0.13596196524784343,0.29069487421209733,0.773040845040845,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,30,,,,0.6384221867283476,1.37308873130046e-115,,3.167296496060083e-191,,,0.13596196524784343,0.29069487421209733,0.7628712668712669,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,30,,,,0.6384327313225595,1.3575822601008053e-115,,3.150438983854015e-191,-0.7393810442848975,1.1939994429683543e-173,0.11678334092041198,0.2707665569357666,0.7628741948741949,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,50,,,,0.7934830637152466,1.8209457700652888e-217,,4.534540438380666e-190,,,0.11678334092041198,0.2707665569357666,0.7614057174057175,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,50,,,,0.7934743639721874,1.855152447554014e-217,,4.543311759682473e-190,-0.7428084007684405,4.292817968663705e-176,0.04061101788581396,0.16287511027823598,0.7614046494046495,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,100,,,,0.7954688823697866,2.5415048377493792e-219,,2.8330611511964586e-199,,,0.04061101788581396,0.16287511027823598,0.7727887247887248,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,500,100,,,,0.7954574497800695,2.6051361148673518e-219,,2.8332565719620337e-199,-0.6479931147732836,3.800727459008585e-120,0.1192883661303841,0.2760389112373117,0.7727886887886888,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,30,,,,0.6383249284207385,1.5246987733536804e-115,,2.979790590481057e-191,,,0.1192883661303841,0.2760389112373117,0.762904746904747,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,30,,,,0.6383197923727177,1.533153378670855e-115,,2.966263440991146e-191,-0.6660319834495957,3.364693762351776e-129,0.023500088329935373,0.1274237292625652,0.7629072429072429,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,50,,,,0.793561119385018,1.5408526295771067e-217,,3.764995849975446e-190,,,0.023500088329935373,0.1274237292625652,0.7615084735084736,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,50,,,,0.7935553773692254,1.5599049574149235e-217,,3.87662377404925e-190,-0.7230142997414531,1.726205503458696e-162,0.03489384122289722,0.1514329048085738,0.7614923334923335,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,750,100,,,,0.7955264553015088,2.2438715636252945e-219,,2.804544526586168e-199,,,0.03489384122289722,0.1514329048085738,0.772794004794005,True
