code,failed,n_inferred_terminal_states,fixed_terminal,spearman_stat_pseudotime,spearman_pval_pseudotime,kendall_stat_pseudotime,kendall_pval_pseudotime,jsd,tts,ttp,ttc,tsr,temporal_state_score,pearson_stat_KLD,pearson_pval_KLD,pearson_stat_SHE,pearson_pval_SHE,spearman_stat_KLD,spearman_pval_KLD,spearman_stat_SHE,spearman_pval_SHE,fate_index_stat,fate_index_pval,terminal_silhouette_soft,terminal_silhouette_pse,terminal_enrichment
three_branches_False_0.7_0.1_10:10:30,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_False_0.7_0.1_10:10:70,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_False_0.7_0.1_10:10:50,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_True_0.7_0.1_10:10:30,False,,True,,,,,"{""values"": [0.026503910513978966, 0.3535571997703165], ""index"": [""committed"", ""totipotent""]}",0.9645365049816571,1.0,0.9645929036198483,1.0,0.9821225503411197,0.6971083017770545,2.218067092782396e-146,-0.5679908342889238,1.7156213136811835e-86,0.8326831526267923,2.0346865437258768e-258,-0.7252440722561962,5.813010202699628e-164,0.6284107375964646,5.433617127613187e-111,0.7921053241283139,0.8736895326160462,0.45545545545545546,3
three_branches_True_0.7_0.1_10:10:50,False,,True,,,,,"{""values"": [0.034921046748843124, 0.34614272014234115], ""index"": [""committed"", ""totipotent""]}",0.9645365049816571,1.0,0.9645929036198483,1.0,0.9821225503411197,0.7131075867787443,4.064803314145346e-156,-0.5923340879684097,9.67957383475869e-96,0.8466715413911818,1.0680223741164458e-275,-0.7384670375334792,5.276276657621132e-173,0.6324494938484575,7.958361997528026e-113,0.7854734335021304,0.8869685418821095,0.45545545545545546,3
three_branches_True_0.7_0.1_10:10:70,False,,True,,,,,"{""values"": [0.04298247639914698, 0.340668181212136], ""index"": [""committed"", ""totipotent""]}",0.9645365049816571,1.0,0.9645929036198483,1.0,0.9821225503411197,0.7293957638490548,9.62018633825174e-167,-0.6081157770732053,3.594295024362081e-102,0.8545919318078777,2.870420502186923e-286,-0.745474526921077,5.06088173068476e-178,0.6830060573562515,2.561714955589144e-138,0.7726905835910314,0.8714822995587234,0.45545545545545546,3
three_branches_False_0.7_0.1_10:30:70,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_False_0.7_0.1_10:50:50,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_False_0.7_0.1_10:50:10,True,,False,,,,,,,,,,,,,,,,,,,,,,,
three_branches_False_0.7_0.1_10:30:30,False,,False,,,,,,0.9612209025446713,1.0,0.962500366639962,1.0,0.9807448301418092,0.7037226990229996,2.511714372892007e-150,-0.5726454435159561,3.3547127505427064e-88,0.846440433703854,2.1280168673026817e-275,-0.7718447771009413,1.721193221862881e-198,0.6742083235959563,1.6253369569361765e-133,0.7847884949214122,0.848289985322857,0.4514514514514514,3
three_branches_True_0.7_0.1_10:30:70,False,,True,,,,,"{""values"": [0.04324857067602981, 0.3309095558927292], ""index"": [""committed"", ""totipotent""]}",0.9645365049816571,1.0,0.9645929036198483,1.0,0.9821225503411197,0.7379073336853703,1.3066599682003868e-172,-0.6051254662529537,6.335188933337277e-101,0.8670484602034559,3.116817475255369e-304,-0.7608537803679122,1.2293334212920142e-189,0.7184380885232352,1.639306600182397e-159,0.765217915356425,0.8398269654750211,0.45545545545545546,3
three_branches_False_0.7_0.1_10:30:50,False,,False,,,,,,0.9284260345761356,1.0,0.9469140022386456,1.0,0.968310100933883,0.7233648145570415,1.0151936016369246e-162,-0.5902794098263047,6.266882260114186e-95,0.8599303755834296,9.378531750552343e-294,-0.7477099120022462,1.1710899377857452e-179,0.6629891247382566,1.254113035222432e-127,0.7719029982020786,0.802875959357171,0.412746079412746,3
three_branches_True_0.7_0.1_10:50:50,False,,True,,,,,"{""values"": [0.03689322511615627, 0.33286339535995635], ""index"": [""committed"", ""totipotent""]}",0.9645365049816571,1.0,0.9645929036198483,1.0,0.9821225503411197,0.72596945897908,1.914979252454968e-164,-0.5901966227574816,6.754825784814084e-95,0.8597840670520932,1.5184762749149493e-293,-0.7707216032687288,1.456363308667945e-197,0.7102074840608564,2.65034920130524e-154,0.773320556421191,0.8431161062197164,0.45545545545545546,3
three_branches_False_0.7_0.1_10:50:30,False,,False,,,,,,0.9439727643575879,1.0,0.9641654504826773,1.0,0.9767372646431961,0.7070985963865479,2.2049654714893566e-152,-0.5745759733625018,6.439811543855351e-89,0.8508396723062424,3.4857404096943913e-281,-0.7479166383172018,8.25003098907437e-180,0.6776563559256917,2.2324582145747835e-135,0.7835660489194074,0.8500475032227284,0.4312645979312646,3
