albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,30,,,,0.3496200449410371,3.99539846104329e-30,0.32590642990642993,3.555411172632652e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,30,,,,0.3492846263463092,4.5692017051374394e-30,0.32586766986766985,3.606333171263308e-26,-0.48653558719300577,1.4924719163936844e-60,0.30550475585135584,0.5944797597815409
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,50,,,,0.35425899406297917,6.141251663659841e-31,0.3348479508479509,1.2649058772897974e-27,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,50,,,,0.3539899359168883,6.851725993090451e-31,0.335003159003159,1.1925670842637428e-27,-0.5084824654498339,7.316697016700755e-67,0.2279023909634334,0.4485535377105925
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,250,100,,,,0.3567117817650255,2.252800815281935e-31,0.33895904695904694,2.628266121825584e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,250,100,,,,0.35648750048547684,2.470056558002535e-31,0.3391964551964552,2.398540117216145e-28,-0.1382030464732327,1.154749949427377e-05,0.22797815995335077,0.3965209715229906
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,30,,,,0.3494573386223415,4.264221418969526e-30,0.3255059055059055,4.117807974186987e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,30,,,,0.3493102023029808,4.522711642962804e-30,0.32547964947964947,4.1576080805731886e-26,-0.30269678668715416,1.233938167392994e-22,0.37482237123105594,0.7095851026970772
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,palantir,500,50,,,,0.3544648741873107,5.647372799015374e-31,0.3352343032343032,1.0923641453990796e-27,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,palantir,500,50,,,,0.3543378779255893,5.947154993856019e-31,0.3352441912441913,1.0882688346732457e-27,-0.48134361104092843,3.986733412228349e-59,0.31792047789784905,0.6027224531857694
