albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.16590210824071291,1.317978655003979e-07,,,0.31241534835417895,4.435542389407376e-24,,
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.5570059107772498,1.4482855849545324e-82,,,0.73731137664725,3.4229171719913556e-172,0.2551597261907731,0.48375978942266334
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.18013632830987433,9.67828274587498e-09,,,0.7178318698489483,4.0239726356024964e-159,,0.48375978942266334
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.6813654180639146,2.0746310577658312e-137,,,0.8776325489692463,5.445e-321,0.2654845142059703,0.4987029639388561
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.16875477077892262,7.945324029652367e-08,,,0.7095838763883889,6.463871014985411e-154,,0.4987029639388561
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.6865798877686128,2.563568613491909e-140,,,0.8781049607900845,9e-322,0.2709487405009196,0.5068300511748126
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.16957940504661784,6.85295110666818e-08,,,0.31945566410913606,3.6853272853644597e-25,,0.5068300511748126
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.5555240112483147,4.779500954680513e-82,,,0.7371748466136251,4.2662899822866123e-172,0.2533924351831809,0.4808876176497121
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.17503733040545577,2.5283345967248832e-08,,,0.7155950787706812,1.0833862178297082e-157,,0.4808876176497121
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.6798066208614214,1.4945933472132447e-136,,,0.8766302938153502,2.44543e-319,0.2647438626201605,0.49750627673986225
