albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.6537995762495172,5.415852547886414e-123,,,0.8233932469732683,8.363518298399095e-248,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.7257503498396715,2.6791158710871243e-164,,,0.708711768959215,2.2400087210080317e-153,0.18596059084144487,0.3633661235405592
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.6565868866315656,2.212679455064917e-124,,,0.8243557135811436,7.111764520916147e-249,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.7353157362679219,8.445607413667493e-171,,,0.7108337012104977,1.080077232210586e-154,0.18113229835556982,0.3603343115029748
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.6567661696444679,1.799225678966376e-124,,,0.8230464971526908,2.0250369325306046e-247,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.7370832485854565,4.945282700458008e-172,,,0.7091999788864009,1.117733070717644e-153,0.17554955102362405,0.3533594747254539
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.6550315925604154,1.3232692206533467e-123,,,0.8232796902086734,1.1175111920794375e-247,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.7265190722242785,8.236549314165727e-165,,,0.7106762023921683,1.3539514447691073e-154,0.1956107827791094,0.3750338245651527
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.6567445467149134,1.8446902479232181e-124,,,0.8244566483641738,5.487102433311661e-249,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.734774128969642,2.0058320729638103e-170,,,0.7110121058782697,8.359856357044106e-155,0.18297517997492946,0.3628990765992231
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,500,100,5,,hard,0.656305989319015,3.0587444136785774e-124,,,0.8230798609223021,1.8600189277653364e-247,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,30,30,30,cellrank_pseudotime_kernel,500,100,5,,hard,0.7365871223448449,1.0993409546256516e-171,,,0.7083557976705492,3.7152611154627827e-153,0.17292951062330342,0.3503213269433657
phyla5,1000,GRN_100,0.1,0.1,rna,False,30,30,30,cellrank_pseudotime_kernel,750,30,5,,hard,0.6545939657582501,2.1846083794218592e-123,,,0.8228932344204484,2.9916566615759144e-247,,
