donor,model,fixed_terminal,n_macrostates,pruning_type,person_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,n_terminal_states
donor2,rna,False,4,hard,0.7526312550262552,True,0.7187068283104512,True,,,4
donor2,rna,False,6,hard,0.8374905784722919,True,0.8567431975382999,True,,,6
donor2,rna,False,8,hard,0.9014164363269856,True,0.9087665811957946,True,,,8
donor2,rna,False,10,hard,0.9015787301247378,True,0.8928768361188633,True,,,10
donor2,rna,False,12,hard,0.9022527716156149,True,0.8802042009096342,True,,,11
donor2,rna,False,14,hard,0.8999016957950796,True,0.8979903531755546,True,,,10
donor2,rna,False,16,hard,0.9131311765091119,True,0.8972492732490824,True,,,9
donor2,rna,False,18,hard,0.9144035308092285,True,0.8952444073417763,True,,,9
donor2,rna,True,4,hard,0.6011012072319758,True,0.7061515093165525,True,0.04414346212526057,0.17013073183040395,
donor2,multiomics,False,4,hard,0.8643717012756896,True,0.9342060531668297,True,,,4
donor2,multiomics,False,6,hard,0.9015032474476046,True,0.9501852246964464,True,,,6
donor2,multiomics,False,8,hard,0.8831712625938442,True,0.8595133877953899,True,,,8
donor2,multiomics,False,10,hard,0.8974787611710705,True,0.8296407726241561,True,,,10
donor2,multiomics,False,12,hard,0.9020882330168773,True,0.8310733019403892,True,,,10
donor2,multiomics,False,14,hard,0.9049897112525848,True,0.8041517681087411,True,,,9
donor2,multiomics,False,16,hard,0.8943208282308743,True,0.7982519463465689,True,,,9
donor2,multiomics,False,18,hard,0.8767347141977636,True,0.7696523172450374,True,,,9
donor2,multiomics,True,4,hard,0.7342263832710788,True,0.8177683818904399,True,0.0891806752660189,0.2457883254272105,
donor1,rna,True,4,hard,0.9457936141880589,True,0.8489627066014879,True,0.17615939140288325,0.618340361341703,
donor1,rna,False,4,hard,0.9538112418238442,True,0.9682008680507844,True,,,4
donor1,rna,False,6,hard,0.9485961187015735,True,0.9317628611176694,True,,,6
donor1,rna,False,8,hard,0.9482973664060204,True,0.9165634699650871,True,,,5
donor1,rna,False,10,hard,0.9466354778593151,True,0.8868218095542639,True,,,9
donor1,rna,False,12,hard,0.9412653982798409,True,0.8731938995984011,True,,,10
donor1,multiomics,True,4,hard,0.37629646331055094,True,0.8460741151352941,True,0.0009153999764200278,0.07474936459940015,
donor1,multiomics,False,4,hard,0.4378639269586248,True,0.9519374353905679,True,,,4
donor1,multiomics,False,6,hard,0.3543880881882501,True,0.9518704165810201,True,,,6
donor1,multiomics,False,8,hard,0.48244073657351977,True,0.9462596549399751,True,,,8
donor1,multiomics,False,10,hard,0.49237615333123347,True,0.9374486482113299,True,,,8
donor1,multiomics,False,12,hard,0.38853595118474116,True,0.9668186182698156,True,,,7
