Gene	Accession	Chromosome	End	Start	Strand
AC125149.3	ENSMUSG00000079800	GL456210.1	58882	9124	-
AC125149.5	ENSMUSG00000095092	GL456210.1	110303	108390	-
AC125149.2	ENSMUSG00000079794	GL456210.1	136519	135395	-
AC125149.1	ENSMUSG00000079192	GL456210.1	124928	123792	+
AC125149.4	ENSMUSG00000094799	GL456210.1	149707	147792	+
AC133103.4	ENSMUSG00000095250	GL456211.1	32396	30483	-
AC133103.6	ENSMUSG00000095787	GL456211.1	54840	54469	-
AC133103.5	ENSMUSG00000095672	GL456211.1	162404	160465	-
AC133103.3	ENSMUSG00000094514	GL456211.1	229375	226405	-
AC133103.7	ENSMUSG00000096100	GL456211.1	67326	66955	+
AC133103.1	ENSMUSG00000079190	GL456211.1	196478	167446	+
AC168977.2	ENSMUSG00000094915	GL456212.1	34932	31967	-
AC168977.1	ENSMUSG00000079808	GL456212.1	150452	128555	-
CAAA01118383.1	ENSMUSG00000063897	GL456216.1	36183	15881	+
Vmn1r186	ENSMUSG00000096776	GL456219.1	95088	94186	-
AC102264.1	ENSMUSG00000096244	GL456219.1	150163	149261	-
AC132444.1	ENSMUSG00000079222	GL456221.1	30203	17591	-
AC132444.3	ENSMUSG00000094874	GL456221.1	32306	30394	-
AC132444.4	ENSMUSG00000095450	GL456221.1	46666	46295	-
Csprs	ENSMUSG00000062783	GL456221.1	163011	111572	-
AC132444.5	ENSMUSG00000095500	GL456221.1	47294	32239	+
AC132444.2	ENSMUSG00000094728	GL456221.1	59114	58743	+
AC132444.6	ENSMUSG00000096808	GL456221.1	152734	151235	+
Vamp7	ENSMUSG00000051412	GL456233.1	39148	10738	-
Spry3	ENSMUSG00000061654	GL456233.1	106395	101352	-
CAAA01165726.1	ENSMUSG00000090805	GL456233.1	25788	25190	+
Tmlhe	ENSMUSG00000079834	GL456233.1	334183	159647	+
Ccl21b	ENSMUSG00000094121	GL456350.1	1059	394	-
AC087559.3	ENSMUSG00000094576	GL456350.1	25222	23801	-
Fam205a4	ENSMUSG00000079774	GL456350.1	149877	144079	-
AC087559.2	ENSMUSG00000079773	GL456350.1	174286	173252	-
Ccl21c	ENSMUSG00000096271	GL456350.1	212455	211325	-
AC140325.1	ENSMUSG00000074720	GL456354.1	27230	25923	-
Gm3286	ENSMUSG00000094337	GL456354.1	86051	82993	-
AC140325.3	ENSMUSG00000095570	GL456354.1	149659	146926	-
AC140325.2	ENSMUSG00000094741	GL456354.1	8939	6366	+
AC140325.4	ENSMUSG00000096728	GL456354.1	161339	158543	+
Vmn2r122	ENSMUSG00000096730	JH584292.1	11935	3536	+
Ccl27a	ENSMUSG00000095247	JH584293.1	21820	16864	-
CR974586.2	ENSMUSG00000095585	JH584293.1	43114	41602	-
Ccl21c	ENSMUSG00000096873	JH584293.1	60827	60162	-
CR974586.3	ENSMUSG00000095755	JH584293.1	84475	83395	-
CR974586.5	ENSMUSG00000096646	JH584293.1	87710	86316	-
CR974586.1	ENSMUSG00000095207	JH584293.1	206144	203931	-
Il11ra2	ENSMUSG00000095456	JH584293.1	16486	10948	+
CR974586.4	ENSMUSG00000096506	JH584293.1	104629	103128	+
4933409K07Rik	ENSMUSG00000095552	JH584293.1	142665	140956	+
Il11ra2	ENSMUSG00000095623	JH584294.1	9702	4164	-
Ccl19	ENSMUSG00000094661	JH584294.1	104139	102539	-
Ccl21a	ENSMUSG00000095320	JH584294.1	121713	121048	-
CT868723.1	ENSMUSG00000096237	JH584294.1	144557	138344	-
Ccl27a	ENSMUSG00000093828	JH584294.1	3786	2012	+
Gm10931	ENSMUSG00000094350	JH584294.1	137560	137009	+
CAAA01147332.1	ENSMUSG00000095742	JH584295.1	1479	66	-
AC164084.2	ENSMUSG00000095666	JH584296.1	44417	41338	-
AC164084.3	ENSMUSG00000096680	JH584296.1	133448	130715	-
AC164084.1	ENSMUSG00000095505	JH584296.1	197903	195181	-
AC165294.1	ENSMUSG00000094303	JH584297.1	22248	19740	-
AC165294.3	ENSMUSG00000096756	JH584297.1	111392	108318	-
AC165294.2	ENSMUSG00000096236	JH584297.1	33667	31101	+
AC125178.3	ENSMUSG00000095728	JH584298.1	170838	168268	-
AC125178.1	ENSMUSG00000094722	JH584298.1	93623	90528	+
AC125178.2	ENSMUSG00000095076	JH584298.1	182203	179693	+
AC133095.2	ENSMUSG00000095475	JH584299.1	913083	910289	-
AC123873.3	ENSMUSG00000094836	JH584299.1	7356	4975	+
AC123873.1	ENSMUSG00000094383	JH584299.1	93220	90482	+
AC123873.2	ENSMUSG00000094474	JH584299.1	176134	173050	+
AC126035.1	ENSMUSG00000094791	JH584299.1	317584	314841	+
Gm16367	ENSMUSG00000096550	JH584299.1	480331	477246	+
AC163611.1	ENSMUSG00000094172	JH584299.1	564894	562161	+
AC163611.2	ENSMUSG00000094887	JH584299.1	625594	587624	+
AC140365.1	ENSMUSG00000091585	JH584299.1	720517	716296	+
AC124606.2	ENSMUSG00000095763	JH584299.1	809281	806210	+
AC124606.1	ENSMUSG00000095523	JH584299.1	840451	837364	+
AC133095.1	ENSMUSG00000094855	JH584299.1	924675	921942	+
AC234645.1	ENSMUSG00000095019	JH584303.1	82689	81607	+
AC149090.1	ENSMUSG00000095041	JH584304.1	59690	52190	-
Xkr4	ENSMUSG00000051951	1	3671498	3205901	-
Gm19938	ENSMUSG00000102331	1	3658904	3647309	-
Gm37381	ENSMUSG00000102343	1	3986215	3905739	-
Rp1	ENSMUSG00000025900	1	4409241	3999557	-
Sox17	ENSMUSG00000025902	1	4497354	4490931	-
Gm37323	ENSMUSG00000104328	1	4586252	4583129	-
Mrpl15	ENSMUSG00000033845	1	4785739	4773206	-
Rgs20	ENSMUSG00000002459	1	5070285	4909576	-
Npbwr1	ENSMUSG00000033774	1	5917398	5913707	-
4732440D04Rik	ENSMUSG00000090031	1	6215293	6209866	-
Gm26901	ENSMUSG00000097797	1	7397869	7349406	-
Sntg1	ENSMUSG00000025909	1	9299878	8361475	-
2610203C22Rik	ENSMUSG00000079671	1	9631175	9560832	-
Gm29520	ENSMUSG00000099827	1	9640582	9639255	-
Mybl1	ENSMUSG00000025912	1	9700209	9667415	-
Vcpip1	ENSMUSG00000045210	1	9748382	9718622	-
Snhg6	ENSMUSG00000098234	1	9944118	9941959	-
Tcf24	ENSMUSG00000099032	1	9967932	9960163	-
Ppp1r42	ENSMUSG00000025916	1	10009136	9968624	-
Cops5	ENSMUSG00000025917	1	10038168	10024601	-
Arfgef1	ENSMUSG00000067851	1	10232670	10137571	-
Cpa6	ENSMUSG00000042501	1	10719945	10324720	-
Gm29663	ENSMUSG00000101314	1	12671176	12670324	-
Slco5a1	ENSMUSG00000025938	1	12992650	12866549	-
Prdm14	ENSMUSG00000042414	1	13127163	13113457	-
Ncoa2	ENSMUSG00000005886	1	13374083	13139105	-
Tram1	ENSMUSG00000025935	1	13589910	13564698	-
Lactb2	ENSMUSG00000025937	1	13660546	13623330	-
Eya1	ENSMUSG00000025932	1	14310235	14168954	-
Msc	ENSMUSG00000025930	1	14755992	14753346	-
Trpa1	ENSMUSG00000032769	1	14918862	14872648	-
Sbspon	ENSMUSG00000032719	1	15892722	15853862	-
4930444P10Rik	ENSMUSG00000067795	1	16093325	16065979	-
Rpl7	ENSMUSG00000043716	1	16104662	16101295	-
Stau2	ENSMUSG00000025920	1	16520112	16228674	-
Ube2w	ENSMUSG00000025939	1	16619489	16540790	-
Eloc	ENSMUSG00000079658	1	16657042	16641725	-
Jph1	ENSMUSG00000042686	1	17097889	16964560	-
Gm28154	ENSMUSG00000100053	1	17641081	17615084	-
